"place_code","place_name","state","eli_households","total_vouchers","vouchers_per_1000_eli","desert_eli"
"0100820","AL Alabaster city, Alabama","AL",757,82,108.322324966975,"Moderate desert"
"0100988","AL Albertville city, Alabama","AL",376,392,1042.55319148936,"Adequate supply"
"0102956","AL Athens city, Alabama","AL",405,671,1656.79012345679,"Adequate supply"
"0103028","AL Attalla city, Alabama","AL",252,49,194.444444444444,"Moderate desert"
"0103076","AL Auburn city, Alabama","AL",4598,648,140.930839495433,"Moderate desert"
"0111416","AL Calera city, Alabama","AL",409,20,48.8997555012225,"Severe desert"
"0114104","AL Chelsea city, Alabama","AL",316,26,82.2784810126582,"Severe desert"
"0116768","AL Columbiana city, Alabama","AL",203,103,507.389162561576,"Adequate supply"
"0118976","AL Cullman city, Alabama","AL",649,241,371.340523882897,"Low availability"
"0119648","AL Daphne city, Alabama","AL",400,24,60,"Severe desert"
"0120104","AL Decatur city, Alabama","AL",1090,1072,983.48623853211,"Adequate supply"
"0121184","AL Dothan city, Alabama","AL",1962,1903,969.928644240571,"Adequate supply"
"0124184","AL Enterprise city, Alabama","AL",1518,312,205.533596837945,"Moderate desert"
"0125240","AL Fairhope city, Alabama","AL",1066,143,134.146341463415,"Moderate desert"
"0126896","AL Florence city, Alabama","AL",1627,1709,1050.39950829748,"Adequate supply"
"0126992","AL Foley city, Alabama","AL",982,196,199.59266802444,"Moderate desert"
"0127088","AL Forestdale CDP, Alabama","AL",300,170,566.666666666667,"Adequate supply"
"0129056","AL Gardendale city, Alabama","AL",366,63,172.131147540984,"Moderate desert"
"0131348","AL Grayson Valley CDP, Alabama","AL",390,86,220.51282051282,"Moderate desert"
"0132272","AL Gulf Shores city, Alabama","AL",517,9,17.4081237911025,"Severe desert"
"0132416","AL Guntersville city, Alabama","AL",407,122,299.7542997543,"Low availability"
"0133448","AL Hartselle city, Alabama","AL",698,31,44.4126074498567,"Severe desert"
"0133472","AL Harvest CDP, Alabama","AL",245,68,277.551020408163,"Low availability"
"0134024","AL Helena city, Alabama","AL",619,25,40.3877221324717,"Severe desert"
"0135800","AL Homewood city, Alabama","AL",848,41,48.3490566037736,"Severe desert"
"0135896","AL Hoover city, Alabama","AL",3068,44,14.3415906127771,"Severe desert"
"0136448","AL Hueytown city, Alabama","AL",245,139,567.34693877551,"Adequate supply"
"0137000","AL Huntsville city, Alabama","AL",8619,2286,265.227984684998,"Low availability"
"0137864","AL Irondale city, Alabama","AL",584,112,191.780821917808,"Moderate desert"
"0138416","AL Jasper city, Alabama","AL",248,357,1439.51612903226,"Adequate supply"
"0141968","AL Leeds city, Alabama","AL",297,203,683.501683501683,"Adequate supply"
"0145040","AL McCalla CDP, Alabama","AL",286,16,55.9440559440559,"Severe desert"
"0145784","AL Madison city, Alabama","AL",1760,110,62.5,"Severe desert"
"0148112","AL Meridianville CDP, Alabama","AL",334,53,158.682634730539,"Moderate desert"
"0148376","AL Midfield city, Alabama","AL",257,284,1105.05836575875,"Adequate supply"
"0148712","AL Millbrook city, Alabama","AL",236,25,105.932203389831,"Moderate desert"
"0150000","AL Mobile city, Alabama","AL",6128,7558,1233.35509138381,"Adequate supply"
"0151000","AL Montgomery city, Alabama","AL",6578,3784,575.250836120401,"Adequate supply"
"0151096","AL Moody city, Alabama","AL",419,49,116.945107398568,"Moderate desert"
"0151216","AL Moores Mill CDP, Alabama","AL",273,16,58.6080586080586,"Severe desert"
"0153016","AL Muscle Shoals city, Alabama","AL",552,142,257.246376811594,"Low availability"
"0155200","AL Northport city, Alabama","AL",1336,521,389.97005988024,"Low availability"
"0157048","AL Opelika city, Alabama","AL",783,1132,1445.72158365262,"Adequate supply"
"0157576","AL Oxford city, Alabama","AL",724,167,230.662983425414,"Moderate desert"
"0158896","AL Pell City city, Alabama","AL",222,101,454.954954954955,"Low availability"
"0159760","AL Pike Road town, Alabama","AL",296,2,6.75675675675676,"Severe desert"
"0162328","AL Prattville city, Alabama","AL",820,143,174.390243902439,"Moderate desert"
"0168160","AL Saraland city, Alabama","AL",331,129,389.728096676737,"Low availability"
"0168352","AL Satsuma city, Alabama","AL",230,15,65.2173913043478,"Severe desert"
"0168736","AL Scottsboro city, Alabama","AL",224,491,2191.96428571429,"Adequate supply"
"0171976","AL Spanish Fort city, Alabama","AL",438,10,22.8310502283105,"Severe desert"
"0176320","AL Tillmans Corner CDP, Alabama","AL",309,335,1084.14239482201,"Adequate supply"
"0176944","AL Trussville city, Alabama","AL",567,4,7.05467372134039,"Severe desert"
"0178204","AL Valley city, Alabama","AL",273,67,245.421245421245,"Moderate desert"
"0178552","AL Vestavia Hills city, Alabama","AL",1098,3,2.73224043715847,"Severe desert"
"0203000","AK Anchorage municipality, Alaska","AK",8452,3139,371.391386654046,"Low availability"
"0205000","AK Badger CDP, Alaska","AK",225,18,80,"Severe desert"
"0212920","AK Chena Ridge CDP, Alaska","AK",219,9,41.0958904109589,"Severe desert"
"0216750","AK College CDP, Alaska","AK",244,174,713.114754098361,"Adequate supply"
"0224230","AK Fairbanks city, Alaska","AK",879,664,755.403868031854,"Adequate supply"
"0236400","AK Juneau city and borough, Alaska","AK",1322,481,363.842662632375,"Low availability"
"0237250","AK Kalifornsky CDP, Alaska","AK",277,39,140.794223826715,"Moderate desert"
"0238420","AK Kenai city, Alaska","AK",215,175,813.953488372093,"Adequate supply"
"0238970","AK Ketchikan city, Alaska","AK",237,101,426.160337552743,"Low availability"
"0240645","AK Knik-Fairview CDP, Alaska","AK",490,41,83.6734693877551,"Severe desert"
"0247735","AK Meadow Lakes CDP, Alaska","AK",210,32,152.380952380952,"Moderate desert"
"0255745","AK North Lakes CDP, Alaska","AK",317,28,88.3280757097792,"Severe desert"
"0258660","AK Palmer city, Alaska","AK",202,64,316.831683168317,"Low availability"
"0270540","AK Sitka city and borough, Alaska","AK",377,35,92.8381962864722,"Severe desert"
"0272135","AK South Lakes CDP, Alaska","AK",213,35,164.319248826291,"Moderate desert"
"0273070","AK Sterling CDP, Alaska","AK",285,22,77.1929824561404,"Severe desert"
"0275077","AK Tanaina CDP, Alaska","AK",219,29,132.420091324201,"Moderate desert"
"0283080","AK Wasilla city, Alaska","AK",447,201,449.664429530201,"Low availability"
"0402430","AZ Anthem CDP, Arizona","AZ",781,1,1.28040973111396,"Severe desert"
"0402830","AZ Apache Junction city, Arizona","AZ",776,83,106.958762886598,"Moderate desert"
"0403530","AZ Arizona City CDP, Arizona","AZ",328,56,170.731707317073,"Moderate desert"
"0404720","AZ Avondale city, Arizona","AZ",1926,564,292.834890965732,"Low availability"
"0407940","AZ Buckeye city, Arizona","AZ",1602,281,175.405742821473,"Moderate desert"
"0409690","AZ Camp Verde town, Arizona","AZ",302,51,168.87417218543,"Moderate desert"
"0410530","AZ Casa Grande city, Arizona","AZ",1330,402,302.255639097744,"Low availability"
"0410670","AZ Casas Adobes CDP, Arizona","AZ",1606,58,36.1145703611457,"Severe desert"
"0411230","AZ Catalina Foothills CDP, Arizona","AZ",1993,12,6.02107375815354,"Severe desert"
"0412000","AZ Chandler city, Arizona","AZ",8229,672,81.6624134159679,"Severe desert"
