"place_code","place_name","state","households","total_vouchers","vouchers_per_1000","desert"
"0100820","AL Alabaster city, Alabama","AL",11929,82,6.87400452678347,"Severe desert"
"0102956","AL Athens city, Alabama","AL",11166,671,60.0931398889486,"Adequate supply"
"0103076","AL Auburn city, Alabama","AL",29479,648,21.9817497201398,"Moderate desert"
"0105980","AL Bessemer city, Alabama","AL",10598,984,92.8477071145499,"Adequate supply"
"0107000","AL Birmingham city, Alabama","AL",88527,8179,92.3898923492268,"Adequate supply"
"0119648","AL Daphne city, Alabama","AL",10832,24,2.21565731166913,"Severe desert"
"0120104","AL Decatur city, Alabama","AL",23888,1072,44.8760884125921,"Low availability"
"0121184","AL Dothan city, Alabama","AL",28988,1903,65.6478542845315,"Adequate supply"
"0124184","AL Enterprise city, Alabama","AL",11189,312,27.8845294485656,"Low availability"
"0126896","AL Florence city, Alabama","AL",17203,1709,99.343137824798,"Adequate supply"
"0126992","AL Foley city, Alabama","AL",10323,196,18.986728664148,"Moderate desert"
"0128696","AL Gadsden city, Alabama","AL",12942,549,42.4200278164117,"Low availability"
"0135896","AL Hoover city, Alabama","AL",36471,44,1.20643799182912,"Severe desert"
"0137000","AL Huntsville city, Alabama","AL",94058,2286,24.3041527568096,"Moderate desert"
"0145784","AL Madison city, Alabama","AL",21968,110,5.00728332119446,"Severe desert"
"0150000","AL Mobile city, Alabama","AL",77587,7558,97.4132264425741,"Adequate supply"
"0151000","AL Montgomery city, Alabama","AL",80540,3784,46.9828656568165,"Low availability"
"0155200","AL Northport city, Alabama","AL",12396,521,42.0296869958051,"Low availability"
"0157048","AL Opelika city, Alabama","AL",13121,1132,86.2739120493865,"Adequate supply"
"0159472","AL Phenix City city, Alabama","AL",16376,1042,63.6297020029311,"Adequate supply"
"0162328","AL Prattville city, Alabama","AL",14820,143,9.64912280701754,"Severe desert"
"0177256","AL Tuscaloosa city, Alabama","AL",40193,2608,64.8869206080661,"Adequate supply"
"0178552","AL Vestavia Hills city, Alabama","AL",14116,3,0.212524794559365,"Severe desert"
"0203000","AK Anchorage municipality, Alaska","AK",107868,3139,29.1003819483072,"Low availability"
"0224230","AK Fairbanks city, Alaska","AK",12203,664,54.4128492993526,"Adequate supply"
"0236400","AK Juneau city and borough, Alaska","AK",13138,481,36.6113563708327,"Low availability"
"0402830","AZ Apache Junction city, Arizona","AZ",17953,83,4.62318275497131,"Severe desert"
"0404720","AZ Avondale city, Arizona","AZ",29372,564,19.2019610513414,"Moderate desert"
"0407940","AZ Buckeye city, Arizona","AZ",30158,281,9.31759400490749,"Severe desert"
"0408220","AZ Bullhead City city, Arizona","AZ",19626,178,9.06960154896566,"Severe desert"
"0410530","AZ Casa Grande city, Arizona","AZ",20816,402,19.3120676402767,"Moderate desert"
"0410670","AZ Casas Adobes CDP, Arizona","AZ",30730,58,1.8874064432151,"Severe desert"
"0411230","AZ Catalina Foothills CDP, Arizona","AZ",24140,12,0.497100248550124,"Severe desert"
"0412000","AZ Chandler city, Arizona","AZ",105867,672,6.34758706679135,"Severe desert"
"0422220","AZ El Mirage city, Arizona","AZ",11136,131,11.7636494252874,"Moderate desert"
"0423620","AZ Flagstaff city, Arizona","AZ",27815,571,20.5284918209599,"Moderate desert"
"0425030","AZ Fortuna Foothills CDP, Arizona","AZ",13629,16,1.17396727566219,"Severe desert"
"0425300","AZ Fountain Hills town, Arizona","AZ",11077,3,0.270831452559357,"Severe desert"
"0427400","AZ Gilbert town, Arizona","AZ",91712,142,1.54832519190509,"Severe desert"
"0427820","AZ Glendale city, Arizona","AZ",86733,1763,20.3267499106453,"Moderate desert"
"0428380","AZ Goodyear city, Arizona","AZ",35839,88,2.45542565361757,"Severe desert"
"0429710","AZ Green Valley CDP, Arizona","AZ",13241,4,0.302091987010045,"Severe desert"
"0437620","AZ Kingman city, Arizona","AZ",14813,260,17.552150138392,"Moderate desert"
"0439370","AZ Lake Havasu City city, Arizona","AZ",27555,142,5.15332970422791,"Severe desert"
"0444270","AZ Marana town, Arizona","AZ",20876,34,1.62866449511401,"Severe desert"
"0444410","AZ Maricopa city, Arizona","AZ",19811,109,5.50199384180506,"Severe desert"
"0446000","AZ Mesa city, Arizona","AZ",196065,2358,12.0266238237319,"Moderate desert"
"0451600","AZ Oro Valley town, Arizona","AZ",21461,24,1.11830762778994,"Severe desert"
"0454050","AZ Peoria city, Arizona","AZ",73165,497,6.79286544112622,"Severe desert"
"0455000","AZ Phoenix city, Arizona","AZ",601397,11551,19.2069464929157,"Moderate desert"
"0457380","AZ Prescott city, Arizona","AZ",22751,223,9.80176695529867,"Severe desert"
"0457450","AZ Prescott Valley town, Arizona","AZ",20079,57,2.83878679217093,"Severe desert"
"0458150","AZ Queen Creek town, Arizona","AZ",20677,8,0.386903322532282,"Severe desert"
"0462140","AZ Sahuarita town, Arizona","AZ",12120,8,0.66006600660066,"Severe desert"
"0464210","AZ San Tan Valley CDP, Arizona","AZ",33646,59,1.75355168519289,"Severe desert"
"0465000","AZ Scottsdale city, Arizona","AZ",117787,932,7.91258797660183,"Severe desert"
"0466820","AZ Sierra Vista city, Arizona","AZ",18592,610,32.8098106712565,"Low availability"
"0470320","AZ Sun City CDP, Arizona","AZ",23267,35,1.5042764430309,"Severe desert"
"0470355","AZ Sun City West CDP, Arizona","AZ",16059,35,2.1794632293418,"Severe desert"
"0471510","AZ Surprise city, Arizona","AZ",54442,312,5.73086954924507,"Severe desert"
"0473000","AZ Tempe city, Arizona","AZ",77053,1406,18.247180512115,"Moderate desert"
"0477000","AZ Tucson city, Arizona","AZ",225095,6425,28.5435038539283,"Low availability"
"0485540","AZ Yuma city, Arizona","AZ",37823,1625,42.9632763133543,"Low availability"
"0504840","AR Bella Vista city, Arkansas","AR",12894,3,0.232666356444858,"Severe desert"
"0505290","AR Benton city, Arkansas","AR",14765,422,28.5811039620725,"Low availability"
"0505320","AR Bentonville city, Arkansas","AR",21597,169,7.82516090197713,"Severe desert"
"0510300","AR Cabot city, Arkansas","AR",10005,340,33.9830084957521,"Low availability"
"0515190","AR Conway city, Arkansas","AR",26717,485,18.1532357674889,"Moderate desert"
"0523290","AR Fayetteville city, Arkansas","AR",40423,1072,26.5195556984885,"Low availability"
"0524550","AR Fort Smith city, Arkansas","AR",36480,2362,64.7478070175439,"Adequate supply"
"0533400","AR Hot Springs city, Arkansas","AR",17818,1359,76.271186440678,"Adequate supply"
"0534750","AR Jacksonville city, Arkansas","AR",11270,729,64.6850044365572,"Adequate supply"
"0535710","AR Jonesboro city, Arkansas","AR",30892,1618,52.3760196814709,"Adequate supply"
"0541000","AR Little Rock city, Arkansas","AR",86853,4721,54.356211069278,"Adequate supply"
"0550450","AR North Little Rock city, Arkansas","AR",30021,2700,89.9370440691516,"Adequate supply"
"0553390","AR Paragould city, Arkansas","AR",11601,716,61.7188173433325,"Adequate supply"
"0555310","AR Pine Bluff city, Arkansas","AR",14703,1568,106.644902400871,"Adequate supply"
"0560410","AR Rogers city, Arkansas","AR",25414,272,10.7027622570237,"Moderate desert"
"0561670","AR Russellville city, Arkansas","AR",10600,515,48.5849056603774,"Low availability"
"0563800","AR Sherwood city, Arkansas","AR",13764,143,10.3894216797443,"Moderate desert"
"0566080","AR Springdale city, Arkansas","AR",29340,306,10.4294478527607,"Moderate desert"
"0568810","AR Texarkana city, Arkansas","AR",11495,1153,100.304480208786,"Adequate supply"
